买入信号日,买入日,买入价,含成本买入价,买入交点高度,卖出信号日,卖出日,卖出价,含成本卖出价,卖出交点高度,收益率,状态
2026-04-24,2026-04-27,27.554053990557392,27.554053990557392,-0.082169003295023,2026-05-07,2026-05-08,26.047192202036744,26.047192202036744,0.24048050335423932,-0.05468748043525795,已平仓
2026-05-21,2026-05-22,26.712557684274547,26.712557684274547,-0.10489400033470746,,2026-07-14,22.799999237060547,22.799999237060547,,-0.14646888154470095,期末持有
