买入信号日,买入日,买入价,含成本买入价,卖出信号日,卖出日,卖出价,含成本卖出价,收益率,状态
2026-02-19,2026-02-20,66.66999816894531,66.66999816894531,2026-02-26,2026-02-27,65.3499984741211,65.3499984741211,-0.019799006015858378,已平仓
2026-02-27,2026-03-02,75.0,75.0,2026-03-24,2026-03-25,88.48999786376953,88.48999786376953,0.17986663818359383,已平仓
2026-04-02,2026-04-06,112.95999908447266,112.95999908447266,2026-04-08,2026-04-09,96.77999877929688,96.77999877929688,-0.14323654777189054,已平仓
2026-04-29,2026-04-30,109.06999969482422,109.06999969482422,2026-05-06,2026-05-07,96.30000305175781,96.30000305175781,-0.11708074336478058,已平仓
2026-05-15,2026-05-18,106.0,106.0,2026-05-21,2026-05-22,98.0,98.0,-0.07547169811320753,已平仓
2026-07-08,2026-07-09,74.94999694824219,74.94999694824219,,2026-07-14,79.97000122070312,79.97000122070312,0.06697804505485938,期末持有
